trial,status,loss,time,log,error,activation,layer1_layers,layer1_size,layer2_layers,layer2_size,layer3_layers,layer3_size,layer4_layers,layer4_size,learning_rate,weight_decay
201,ok,0.4598,1351.604695,,,selu,1,32,2,128,3,192,2,512,0.304525275208032,7.49445632162912E-05
202,ok,0.793,1459.656354,,,rrelu,3,32,2,96,3,256,2,512,1.32446427768949,0.00054718066032
203,ok,0.3632,1260.166229,,,relu,2,64,3,128,2,128,3,384,0.821077811685655,0.000128636211525
204,ok,0.4028,1214.546294,,,relu,2,48,2,128,2,320,2,256,0.894566014040071,0.000124342753887
205,ok,0.3368,919.713973,,,rrelu,3,48,1,64,1,256,1,384,1.35258843379971,0.000684679469791
206,ok,0.9,1049.408546,,,selu,2,64,2,128,1,256,2,256,1.91617632654826,0.001057634437372
207,ok,0.4221,1296.889035,,,relu,2,80,3,64,2,320,2,384,1.94702468995413,2.89829112108542E-05
208,ok,0.9,853.69382,,,selu,1,48,2,160,1,192,1,256,1.89339392163556,0.000112269297081
209,ok,0.9,1235.975609,,,relu,3,80,2,96,1,256,3,256,1.87723236168571,0.00116119986742
210,ok,0.4895,1737.468866,,,rrelu,3,64,2,96,2,320,2,640,1.7678630498922,2.43921606135195E-05
211,ok,0.9,1019.147719,,,selu,1,48,3,96,2,192,2,256,2.25589834533718,6.66395497553617E-05
212,ok,0.3591,1102.199842,,,rrelu,1,32,3,128,2,320,1,256,2.27443975353592,0.000124695977935
213,ok,0.9,1307.838376,,,selu,2,64,2,64,2,384,2,384,2.38422633788142,0.000356281174291
214,ok,0.4987,1696.068792,,,rrelu,2,48,2,128,2,192,3,640,0.876180780040883,0.000732467451075
215,ok,0.9,1456.107082,,,selu,2,32,2,96,2,192,3,512,2.92936317897082,4.4120491116558E-05
216,ok,0.9,1355.374463,,,elu,2,48,3,128,3,128,2,512,1.78131951564107,0.00098187227995
217,ok,0.3519,944.412445,,,selu,3,32,3,64,1,192,2,256,0.689169170087478,0.000289697233533
218,ok,0.4299,1097.320196,,,elu,2,64,3,128,2,128,1,512,0.390315595146633,0.00027201166775
219,ok,0.9,1175.827191,,,relu,1,64,1,96,3,320,1,512,1.32425555814729,0.001346314245436
